Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,04/22/2025,"ORIG CO NAME:Why Unified Corp       ORIG ID:2822557284 DESC DATE:250422 CO ENTRY DESCR:MercuryACHSEC:CCD    TRACE#:091311221172057 EED:250422   IND ID:MRCR-UQC7VFLTS9              IND NAME:SEEKOR Retail Two LLC      Enterprise Eligible Payout 03/01/20 25 - 3/31/2025                                MercuryACH TRN: 1121172057TC",3341.59,ACH_CREDIT,33987.82,,
CREDIT,04/01/2025,"ORIG CO NAME:Why Unified Corp       ORIG ID:2822557284 DESC DATE:250401 CO ENTRY DESCR:MercuryACHSEC:CCD    TRACE#:091311222149486 EED:250401   IND ID:MRCR-KAL2YFK11C              IND NAME:SEEKOR Retail Two LLC      Enterprise Eligible Payout 02/01/20 25 - 02/28/2025                               MercuryACH TRN: 0912149486TC",3103.34,ACH_CREDIT,30646.23,,
